,song_title,artist,last_week_pos,peak_pos,weeks_on_chart
0,All Too Well (Taylor's Version),Taylor Swift,-,1,1
1,Easy On Me,Adele,1,1,6
2,Stay,The Kid LAROI & Justin Bieber,2,1,19
3,Industry Baby,Lil Nas X & Jack Harlow,3,1,17
4,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),8,5,2
5,Bad Habits,Ed Sheeran,4,2,21
6,Shivers,Ed Sheeran,5,5,10
7,Heat Waves,Glass Animals,10,8,44
8,Need To Know,Doja Cat,9,8,23
9,Fancy Like,Walker Hayes,7,3,22
10,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,11,11
11,Way 2 Sexy,Drake Featuring Future & Young Thug,12,1,11
12,Good 4 U,Olivia Rodrigo,15,1,27
13,You Right,Doja Cat & The Weeknd,19,11,21
14,Essence,Wizkid Featuring Justin Bieber & Tems,16,9,20
15,Beggin',Maneskin,17,13,21
16,Levitating,Dua Lipa,18,2,59
17,State Of Grace (Taylor's Version),Taylor Swift,-,18,1
18,One Right Now,Post Malone & The Weeknd,6,6,2
19,Already Dead,Juice WRLD,-,20,1
20,Kiss Me More,Doja Cat Featuring SZA,20,3,32
21,I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton,-,22,1
22,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),46,1,37
23,If I Didn't Love You,Jason Aldean & Carrie Underwood,21,15,17
24,Red (Taylor's Version),Taylor Swift,-,25,1
25,Save Your Tears,The Weeknd & Ariana Grande,22,1,49
26,Knife Talk,Drake Featuring 21 Savage & Project Pat,23,4,11
27,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,27,21,10
28,Better Days,NEIKED X Mae Muller X Polo G,29,29,5
29,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,40,30,14
30,Girls Want Girls,Drake Featuring Lil Baby,28,2,11
31,Cold As You,Luke Combs,39,32,16
32,Ghost,Justin Bieber,36,32,8
33,Love Nwantiti (Ah Ah Ah),CKay,32,31,9
34,Chasing After You,Ryan Hurd With Maren Morris,24,23,29
35,All I Want For Christmas Is You,Mariah Carey,-,1,45
36,My Universe,Coldplay x BTS,43,1,8
37,Buy Dirt,Jordan Davis Featuring Luke Bryan,30,30,15
38,Thats What I Want,Lil Nas X,38,10,9
39,Happier Than Ever,Billie Eilish,31,11,16
40,Pepas,Farruko,37,25,17
41,You Should Probably Leave,Chris Stapleton,47,39,20
42,Nothing New (Taylor's Version) (From The Vault),Taylor Swift Featuring Phoebe Bridgers,-,43,1
43,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",35,17,6
44,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,-,45,1
45,I Knew You Were Trouble (Taylor's Version),Taylor Swift,-,46,1
46,Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran,-,47,1
47,Montero (Call Me By Your Name),Lil Nas X,42,1,34
48,Bad Man (Smooth Criminal),Polo G,-,49,1
49,Same Boat,Zac Brown Band,51,48,9
50,Better Man (Taylor's Version) (From The Vault),Taylor Swift,-,51,1
51,22 (Taylor's Version),Taylor Swift,-,52,1
52,Doin' This,Luke Combs,-,53,1
53,Treacherous (Taylor's Version),Taylor Swift,-,54,1
54,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,-,55,1
55,No Love,Summer Walker & SZA,13,13,2
56,Wild Side,Normani Featuring Cardi B,53,14,18
57,Have Mercy,Chloe,55,28,10
58,I Almost Do (Taylor's Version),Taylor Swift,-,59,1
59,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,61,53,8
60,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,-,61,1
61,Family Ties,Baby Keem & Kendrick Lamar,57,18,12
62,Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran,-,63,1
63,Sand In My Boots,Morgan Wallen,69,32,18
64,Gyalis,Capella Grey,58,38,16
65,The Last Time (Taylor's Version),Taylor Swift Featuring Gary Lightbody Of Snow Patrol,-,66,1
66,Stay Stay Stay (Taylor's Version),Taylor Swift,-,67,1
67,After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,-,68,1
68,Babe (Taylor's Version) (From The Vault),Taylor Swift,-,69,1
69,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,62,22,12
70,Escape Plan, Travis Scott,11,11,2
71,One Mississippi,Kane Brown,63,59,8
72,Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak),-,73,1
73,Knowing You,Kenny Chesney,67,57,14
74,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),-,14,9
75,Holy Ground (Taylor's Version),Taylor Swift,-,76,1
76,Begin Again (Taylor's Version),Taylor Swift,-,77,1
77,Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak),-,78,1
78,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,-,79,1
79,Whiskey And Rain,Michael Ray,75,67,7
80,Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak),-,81,1
81,Super Gremlin,Kodak Black,97,82,2
82,The Moment I Knew (Taylor's Version),Taylor Swift,-,83,1
83,The Lucky One (Taylor's Version),Taylor Swift,-,84,1
84,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,-,85,1
85,Fair Trade,Drake Featuring Travis Scott,66,3,11
86,Come Back...Be Here (Taylor's Version),Taylor Swift,-,87,1
87,Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,80,80,2
