playlist_name,playlist_id,song_title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Scenic Route,37i9dQZF1DX1adpUbAHocs,Texas Sun,Khruangbin,0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563,audio_features,24ntSW3QVJzR79lHAAOTaY,spotify:track:24ntSW3QVJzR79lHAAOTaY,https://api.spotify.com/v1/tracks/24ntSW3QVJzR79lHAAOTaY,https://api.spotify.com/v1/audio-analysis/24ntSW3QVJzR79lHAAOTaY,252812,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Time (You and I),Khruangbin,0.751,0.49,11,-13.684,1,0.0455,0.0097,0.15,0.0767,0.923,105.418,audio_features,0S3BtG3i5tkQmehJhIhHF3,spotify:track:0S3BtG3i5tkQmehJhIhHF3,https://api.spotify.com/v1/tracks/0S3BtG3i5tkQmehJhIhHF3,https://api.spotify.com/v1/audio-analysis/0S3BtG3i5tkQmehJhIhHF3,342189,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,White Gloves,Khruangbin,0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,audio_features,4AKUOaCRcoKTFnVI9LtsrN,spotify:track:4AKUOaCRcoKTFnVI9LtsrN,https://api.spotify.com/v1/tracks/4AKUOaCRcoKTFnVI9LtsrN,https://api.spotify.com/v1/audio-analysis/4AKUOaCRcoKTFnVI9LtsrN,218307,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,People Everywhere (Still Alive),Khruangbin,0.551,0.648,7,-13.088,1,0.0627,0.043,0.655,0.41,0.807,109.209,audio_features,2OQ1V0e2O56AeIo4ywuYKF,spotify:track:2OQ1V0e2O56AeIo4ywuYKF,https://api.spotify.com/v1/tracks/2OQ1V0e2O56AeIo4ywuYKF,https://api.spotify.com/v1/audio-analysis/2OQ1V0e2O56AeIo4ywuYKF,159013,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Midnight,Khruangbin,0.667,0.556,5,-8.921,0,0.0306,0.0591,0.0108,0.0972,0.692,132.83,audio_features,7pnVHbcqbmP7LA1ey3ydvu,spotify:track:7pnVHbcqbmP7LA1ey3ydvu,https://api.spotify.com/v1/tracks/7pnVHbcqbmP7LA1ey3ydvu,https://api.spotify.com/v1/audio-analysis/7pnVHbcqbmP7LA1ey3ydvu,314684,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,So We Won't Forget,Khruangbin,0.641,0.413,2,-13.212,1,0.102,0.0305,0.844,0.183,0.967,101.27,audio_features,4HpFU6eMThgW6Cael5AwYy,spotify:track:4HpFU6eMThgW6Cael5AwYy,https://api.spotify.com/v1/tracks/4HpFU6eMThgW6Cael5AwYy,https://api.spotify.com/v1/audio-analysis/4HpFU6eMThgW6Cael5AwYy,298333,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Evan Finds the Third Room,Khruangbin,0.781,0.383,10,-9.975,0,0.0826,0.00984,0.559,0.165,0.83,105.795,audio_features,2nIhVeiF7vlUmPyevRKrKV,spotify:track:2nIhVeiF7vlUmPyevRKrKV,https://api.spotify.com/v1/tracks/2nIhVeiF7vlUmPyevRKrKV,https://api.spotify.com/v1/audio-analysis/2nIhVeiF7vlUmPyevRKrKV,240743,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Dern Kala,Khruangbin,0.632,0.646,9,-11.398,1,0.0385,0.0177,0.88,0.116,0.671,87.325,audio_features,47FmTHqPWGWEfbgDpLjvCt,spotify:track:47FmTHqPWGWEfbgDpLjvCt,https://api.spotify.com/v1/tracks/47FmTHqPWGWEfbgDpLjvCt,https://api.spotify.com/v1/audio-analysis/47FmTHqPWGWEfbgDpLjvCt,219840,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Dearest Alfred (MyJoy),Khruangbin,0.402,0.511,11,-10.524,0,0.43,0.775,0.912,0.108,0.68,82.139,audio_features,09QrWF1BFYe8Inkh9Al5ye,spotify:track:09QrWF1BFYe8Inkh9Al5ye,https://api.spotify.com/v1/tracks/09QrWF1BFYe8Inkh9Al5ye,https://api.spotify.com/v1/audio-analysis/09QrWF1BFYe8Inkh9Al5ye,195604,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Two Fish and an Elephant,Khruangbin,0.452,0.579,2,-11.085,1,0.0476,0.0153,0.893,0.637,0.929,84.615,audio_features,2kGMBOPXMtb9gxzVYdplg9,spotify:track:2kGMBOPXMtb9gxzVYdplg9,https://api.spotify.com/v1/tracks/2kGMBOPXMtb9gxzVYdplg9,https://api.spotify.com/v1/audio-analysis/2kGMBOPXMtb9gxzVYdplg9,213760,4
Scenic Route,37i9dQZF1DX1adpUbAHocs,Beyond,Leon Bridges,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,audio_features,1Omt5bfz1tZUCqd26HxbS0,spotify:track:1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/tracks/1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0,240600,4
